,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
0,"$3,280,000",8,5,"9,286","5501 Elgin St,Pittsburgh, PA 15206",None ,Single family residence,Built in 1880,Natural gas,Central air,6 Parking spaces,1.84 Acres,$353 price/sqft,https://www.zillow.com/homedetails/5501-Elgin-St-Pittsburgh-PA-15206/11619870_zpid/,15206
1,"$249,900",3,2,"1,210","1600 Trinity St,Pittsburgh, PA 15206","$239,700",Single family residence,Built in 1945,"Natural gas, forced air",Central air,1 Attached garage space,"3,001 sqft",$207 price/sqft,https://www.zillow.com/homedetails/1600-Trinity-St-Pittsburgh-PA-15206/11278260_zpid/,15206
2,"$2,800,000",9,8,--,"1054 Beechwood Blvd,Pittsburgh, PA 15206",None ,Single family residence,Built in 1905,"Natural gas, hot water","Central air, window a/c",5 Garage spaces,0.57 Acres,,https://www.zillow.com/homedetails/1054-Beechwood-Blvd-Pittsburgh-PA-15206/11629038_zpid/,15206
3,"$424,700",6,4,"2,515","5810 Rippey St,Pittsburgh, PA 15206","$411,800",Single family residence,Built in 1920,Natural gas,Central air,2 Open parking spaces,"2,252 sqft",$169 price/sqft,https://www.zillow.com/homedetails/5810-Rippey-St-Pittsburgh-PA-15206/11623327_zpid/,15206
4,"$686,000",3,3,"1,810","5641 Bryant St,Pittsburgh, PA 15206","$679,300",Townhouse,Built in 1930,"Natural gas, hot water",Other,1 Garage space,No data,$379 price/sqft,https://www.zillow.com/homedetails/5641-Bryant-St-Pittsburgh-PA-15206/11620414_zpid/,15206
5,"$700,000",4,4,"3,800","6208 Saint Marie St,Pittsburgh, PA 15206","$683,200",Single family residence,Built in 1870,"Natural gas, forced air",Central air,2 Parking spaces,"2,600 sqft",$184 price/sqft,https://www.zillow.com/homedetails/6208-Saint-Marie-St-Pittsburgh-PA-15206/11623170_zpid/,15206
6,"$130,000",4,2,--,"116 Auburn St,Pittsburgh, PA 15206","$121,100",Single family residence,Built in 1900,Natural gas,No data,Open parking,No data,,https://www.zillow.com/homedetails/116-Auburn-St-Pittsburgh-PA-15206/11623625_zpid/,15206
7,"$535,000",2,3,"1,532","100 Denniston St APT 94,Pittsburgh, PA 15206","$530,600",Townhouse,Built in 1995,"Natural gas, forced air",Central air,2 Attached garage spaces,"2,482 sqft",$349 price/sqft,https://www.zillow.com/homedetails/100-Denniston-St-APT-94-Pittsburgh-PA-15206/11624658_zpid/,15206
8,"$599,900",4,3,"3,251","5815 Station St,Pittsburgh, PA 15206","$592,500",Single family residence,Built in 1925,"Natural gas, forced air",Central air,8 Parking spaces,"4,935 sqft",$185 price/sqft,https://www.zillow.com/homedetails/5815-Station-St-Pittsburgh-PA-15206/11623565_zpid/,15206
9,"$149,900",2,2,"1,470","7220 Butler St,Pittsburgh, PA 15206","$139,900",Single family residence,Built in 1900,"Natural gas, forced air",Central air,Open parking,"2,347 sqft",$102 price/sqft,https://www.zillow.com/homedetails/7220-Butler-St-Pittsburgh-PA-15206/11278009_zpid/,15206
10,"$49,750",3,2,"2,135","308 Carver St,Pittsburgh, PA 15206",None ,Singlefamily,Built in 1875,No data,No data,1 Open parking space,"6,500 sqft",$23 price/sqft,https://www.zillow.com/homedetails/308-Carver-St-Pittsburgh-PA-15206/11285643_zpid/,15206
11,"$429,900",6,3,--,"1111 Mellon St,Pittsburgh, PA 15206","$489,300",Single family residence,Built in 1920,No data,No data,No data,"3,628 sqft",,https://www.zillow.com/homedetails/1111-Mellon-St-Pittsburgh-PA-15206/11620359_zpid/,15206
12,"$240,000",3,2,"1,421","1825 Jancey St,Pittsburgh, PA 15206","$236,000",Single family residence,Built in 1910,"Natural gas, forced air",Central air,1 Garage space,"2,304 sqft",$169 price/sqft,https://www.zillow.com/homedetails/1825-Jancey-St-Pittsburgh-PA-15206/11278462_zpid/,15206
13,"$4,900,000",6,7,"11,782","1160 Beechwood Blvd,Pittsburgh, PA 15206","$4,323,200",Single family residence,Built in 1920,"Natural gas, forced air",Central air,4 Attached garage spaces,1.20 Acres,$416 price/sqft,https://www.zillow.com/homedetails/1160-Beechwood-Blvd-Pittsburgh-PA-15206/11629224_zpid/,15206
14,"$4,400,000",9,9,"14,302","1145 Beechwood Blvd,Pittsburgh, PA 15206",None ,Single family residence,Built in 1905,"Natural gas, hot water","Central air, other",3 Attached garage spaces,1.40 Acres,$308 price/sqft,https://www.zillow.com/homedetails/1145-Beechwood-Blvd-Pittsburgh-PA-15206/11629298_zpid/,15206
15,"$799,000",3,5,"2,865","4803 Ellsworth Ave,Pittsburgh, PA 15213","$786,200",Townhouse,Built in 1993,"Natural gas, forced air","Central air, electric",2 Attached garage spaces,"6,098 sqft",$279 price/sqft,https://www.zillow.com/homedetails/4803-Ellsworth-Ave-Pittsburgh-PA-15213/11528937_zpid/,15213
16,"$220,000",4,2,"1,475","3448 Frazier St,Pittsburgh, PA 15213","$210,800",Single family residence,Built in 1890,"Natural gas, forced air",Window a/c,Open parking,"2,230 sqft",$149 price/sqft,https://www.zillow.com/homedetails/3448-Frazier-St-Pittsburgh-PA-15213/11420042_zpid/,15213
17,"$549,000",2,3,"1,940","112 Burrows St,Pittsburgh, PA 15213","$523,300",Townhouse,Built in 2021,No data,Central air,1 Attached garage space,"1,800 sqft",$283 price/sqft,https://www.zillow.com/homedetails/112-Burrows-St-Pittsburgh-PA-15213/333136446_zpid/,15213
18,"$309,900",3,2,--,"3511 Melwood Ave,Pittsburgh, PA 15213","$304,100",Single family residence,Built in 1900,"Natural gas, forced air","Central air, electric",Open parking,No data,,https://www.zillow.com/homedetails/3511-Melwood-Ave-Pittsburgh-PA-15213/11402753_zpid/,15213
19,"$599,000",3,3,"1,940","132 Burrows St,Pittsburgh, PA 15213","$567,100",Townhouse,Built in 2021,No data,Central air,1 Attached garage space,"1,800 sqft",$309 price/sqft,https://www.zillow.com/homedetails/132-Burrows-St-Pittsburgh-PA-15213/333109458_zpid/,15213
20,"$1,100,000",5,4,"5,255","4305 Bigelow Blvd,Pittsburgh, PA 15213","$1,048,900",Single family residence,Built in 1920,"Natural gas, hot water",Central air,3 Garage spaces,"9,448 sqft",$209 price/sqft,https://www.zillow.com/homedetails/4305-Bigelow-Blvd-Pittsburgh-PA-15213/11407883_zpid/,15213
21,"$198,800",3,3,"1,530","3764 Bigelow Blvd,Pittsburgh, PA 15213","$183,600",Single family residence,Built in 1900,"Natural gas, forced air",Central air,1 Attached garage space,"3,201 sqft",$130 price/sqft,https://www.zillow.com/homedetails/3764-Bigelow-Blvd-Pittsburgh-PA-15213/11402805_zpid/,15213
22,"$579,000",3,3,"1,940","122 Burrows St,Pittsburgh, PA 15213","$548,100",Townhouse,Built in 2021,No data,Central air,1 Attached garage space,"1,800 sqft",$298 price/sqft,https://www.zillow.com/homedetails/122-Burrows-St-Pittsburgh-PA-15213/333136448_zpid/,15213
23,"$295,000",3,2,--,"3375 Parkview Ave,Pittsburgh, PA 15213","$334,900",Townhouse,Built in 1920,"Natural gas, forced air",Electric,2 Parking spaces,"1,980 sqft",,https://www.zillow.com/homedetails/3375-Parkview-Ave-Pittsburgh-PA-15213/11413704_zpid/,15213
24,"$500,000",4,2,"1,980","3456 Frazier St,Pittsburgh, PA 15213","$495,200",Townhouse,Built in 2015,"Natural gas, forced air",Central air,Off street,"1,999 sqft",$253 price/sqft,https://www.zillow.com/homedetails/3456-Frazier-St-Pittsburgh-PA-15213/164340878_zpid/,15213
25,"$380,000",3,2,"1,818","3229 Parkview Ave,Pittsburgh, PA 15213","$362,300",Single family residence,Built in 1915,"Natural gas, hot water",Window a/c,Open parking,"2,500 sqft",$209 price/sqft,https://www.zillow.com/homedetails/3229-Parkview-Ave-Pittsburgh-PA-15213/11420320_zpid/,15213
26,"$2,700,000",4,4,"2,500","3567 Bigelow Blvd,Pittsburgh, PA 15213",None ,Singlefamily,Built in 1930,"Natural gas, forced air",Central air,8 Attached garage spaces,"5,000 sqft","$1,080 price/sqft",https://www.zillow.com/homedetails/3567-Bigelow-Blvd-Pittsburgh-PA-15213/2076555487_zpid/,15213
27,"$995,000",3,5,--,"4919 Centre Ave,Pittsburgh, PA 15213","$944,900",Single family residence,Built in 1878,No data,Central air,7 Parking spaces,No data,,https://www.zillow.com/homedetails/4919-Centre-Ave-Pittsburgh-PA-15213/2114952459_zpid/,15213
28,"$500,000",4,3,"1,980","3500 Frazier St,Pittsburgh, PA 15213","$495,800",Townhouse,Built in 2015,"Natural gas, forced air",Central air,Open parking,"1,999 sqft",$253 price/sqft,https://www.zillow.com/homedetails/3500-Frazier-St-Pittsburgh-PA-15213/164612964_zpid/,15213
29,"$579,000",2,3,"1,940","110 Burrows St,Pittsburgh, PA 15213","$550,500",Townhouse,Built in 2021,No data,No data,1 Attached garage space,"1,800 sqft",$298 price/sqft,https://www.zillow.com/homedetails/110-Burrows-St-Pittsburgh-PA-15213/333136445_zpid/,15213
30,"$405,000",3,2,"1,326","2257 Shady Ave,Pittsburgh, PA 15217","$386,900",Single family residence,Built in 1932,"Natural gas, forced air",Window a/c,2 Attached garage spaces,"8,206 sqft",$305 price/sqft,https://www.zillow.com/homedetails/2257-Shady-Ave-Pittsburgh-PA-15217/11635048_zpid/,15217
31,"$349,900",4,2,"1,742","5653 Melvin St,Pittsburgh, PA 15217","$342,500",Single family residence,Built in 1930,Natural gas,"Central air, electric",Open parking,"4,421 sqft",$201 price/sqft,https://www.zillow.com/homedetails/5653-Melvin-St-Pittsburgh-PA-15217/11635398_zpid/,15217
32,"$444,900",6,4,"2,327","5582 Pocusset St,Pittsburgh, PA 15217","$438,500",Single family residence,Built in 1918,"Natural gas, hot water",Window a/c,Open parking,"6,030 sqft",$191 price/sqft,https://www.zillow.com/homedetails/5582-Pocusset-St-Pittsburgh-PA-15217/11635354_zpid/,15217
33,"$549,000",3,4,"1,584","5552 Darlington Rd,Pittsburgh, PA 15217","$523,500",Townhouse,Built in 1985,No data,Central air,2 Attached garage spaces,"3,641 sqft",$347 price/sqft,https://www.zillow.com/homedetails/5552-Darlington-Rd-Pittsburgh-PA-15217/11631349_zpid/,15217
