,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
0,"$279,900",3,1,"1,324","3072 Beechwood Blvd,Pittsburgh, PA 15217","$275,900",Single family residence,Built in 1940,"Natural gas, baseboard","Wall unit(s), window a/c",Open parking,"3,049 sqft",$211 price/sqft,https://www.zillow.com/homedetails/3072-Beechwood-Blvd-Pittsburgh-PA-15217/11640084_zpid/,15106
1,"$258,900",4,3,"2,854","304 Washington Ave,New Galilee, PA 16141",Contact Agent,Single family residence,Built in 1957,"Natural gas, forced air",Central air,2 Attached garage spaces,0.42 Acres,$91 price/sqft,https://www.zillow.com/homedetails/304-Washington-Ave-New-Galilee-PA-16141/93406905_zpid/,15106
2,"$167,000",5,2,"3,698","1000 Ridge Ave,New Cumberland, WV 26047","$160,800",Single family residence,Built in 1875,"Forced air, fireplace(s), gas",None,3 Garage spaces,0.51 Acres,$45 price/sqft,https://www.zillow.com/homedetails/1000-Ridge-Ave-New-Cumberland-WV-26047/22500856_zpid/,15106
3,"$350,000",3,3,"2,180","165 Jamison Ln,Monroeville, PA 15146","$350,100",Single family residence,Built in 1965,"Electric, radiant","Central air, electric",3 Attached garage spaces,0.25 Acres,$161 price/sqft,https://www.zillow.com/homedetails/165-Jamison-Ln-Monroeville-PA-15146/11570143_zpid/,15106
4,"$219,900",3,3,"2,994","35 Northgait Dr,Slippery Rock, PA 16057",None ,Single family residence,Built in 1985,No data,No data,2 Attached garage spaces,1.57 Acres,$73 price/sqft,https://www.zillow.com/homedetails/35-Northgait-Dr-Slippery-Rock-PA-16057/2067090501_zpid/,15106
5,"$325,000",4,3,"2,028","642 Portersville Rd,Ellwood City, PA 16117","$325,000",Single family residence,Built in 2011,"Natural gas, forced air",Central air,2 Attached garage spaces,1.25 Acres,$160 price/sqft,https://www.zillow.com/homedetails/642-Portersville-Rd-Ellwood-City-PA-16117/86507457_zpid/,15106
6,"$595,000",5,5,"2,946","309 Woodmont Dr,Cranberry Township, PA 16066","$566,300",Single family residence,Built in 1992,"Natural gas, forced air",Central air,2 Attached garage spaces,1.25 Acres,$202 price/sqft,https://www.zillow.com/homedetails/309-Woodmont-Dr-Cranberry-Township-PA-16066/75176132_zpid/,15106
7,"$159,500",3,1,--,"362 N Perry Hwy,Mercer, PA 16137","$159,500",Single family residence,Built in 1957,"Natural gas, forced air",Window a/c,4 Parking spaces,5 Acres,,https://www.zillow.com/homedetails/362-N-Perry-Hwy-Mercer-PA-16137/78692718_zpid/,15106
8,"$235,900",3,2,"1,269","5263 Meadowgreen Dr,Pittsburgh, PA 15236","$232,100",Single family residence,Built in 1953,"Natural gas, forced air",Central air,2 Attached garage spaces,"8,934 sqft",$186 price/sqft,https://www.zillow.com/homedetails/5263-Meadowgreen-Dr-Pittsburgh-PA-15236/11430383_zpid/,15106
9,"$385,000",3,3,"1,694","1921 Chislett St,Pittsburgh, PA 15206","$377,000",Single family residence,Built in 1900,"Natural gas, forced air",Central air,2 Parking spaces,"3,726 sqft",$227 price/sqft,https://www.zillow.com/homedetails/1921-Chislett-St-Pittsburgh-PA-15206/11278074_zpid/,15106
10,"$39,000",3,1,"1,752","5149 Jefferson St,Bellaire, OH 43906",None ,Single family residence,Built in 1951,"Forced air, gas",Central air,1 Attached garage space,0.26 Acres,$22 price/sqft,https://www.zillow.com/homedetails/5149-Jefferson-St-Bellaire-OH-43906/50573160_zpid/,15106
11,"$199,900",3,2,900,"166 Highland Rd,Bethel Park, PA 15102","$216,200",Single family residence,Built in 1953,"Natural gas, forced air",Central air,1 Attached garage space,"10,488 sqft",$222 price/sqft,https://www.zillow.com/homedetails/166-Highland-Rd-Bethel-Park-PA-15102/11432374_zpid/,15106
12,"$219,000",4,3,"2,726","2811 State St,White Oak, PA 15131","$196,700",Single family residence,Built in 1920,Natural gas,Central air,No data,"5,375 sqft",$80 price/sqft,https://www.zillow.com/homedetails/2811-State-St-White-Oak-PA-15131/11500602_zpid/,15106
13,"$129,900",5,2,--,"12 Broadway Ave,Manor, PA 15665","$129,900",Single family residence,,"Natural gas, hot water",No data,3 Parking spaces,No data,,https://www.zillow.com/homedetails/12-Broadway-Ave-Manor-PA-15665/10640076_zpid/,15106
14,"$89,900",3,1,"1,260","550 S 6th St,Indiana, PA 15701","$95,000",Single family residence,Built in 1935,Natural gas,No data,Garage,"5,000 sqft",$71 price/sqft,https://www.zillow.com/homedetails/550-S-6th-St-Indiana-PA-15701/78648748_zpid/,15106
15,"$135,000",2,2,--,"103 Johntown St,Jeannette, PA 15644",None ,Single family residence,,"Natural gas, forced air",Central air,1 Garage space,"9,798 sqft",,https://www.zillow.com/homedetails/103-Johntown-St-Jeannette-PA-15644/2067007714_zpid/,15106
16,"$149,900",3,2,--,"2638 Hill Rd,Sharpsville, PA 16150","$126,500",Single family residence,,"Natural gas, forced air",Central air,2 Attached garage spaces,0.73 Acres,,https://www.zillow.com/homedetails/2638-Hill-Rd-Sharpsville-PA-16150/78705347_zpid/,15106
